f (GHz),S11 (dB),S11 (deg.)
1300000000.0,-7.5897464165796045,-49.83102437411274
1301700000.0,-7.587334141694181,-50.372183662087195
1303400000.0,-7.585219663330012,-50.92364151934192
1305100000.0,-7.583417824756504,-51.48568075155339
1306800000.0,-7.58194421608194,-52.058593826839655
1308500000.0,-7.58081521411564,-52.6426832386437
1310200000.0,-7.580048024312612,-53.238261881307075
1311900000.0,-7.579660724884894,-53.84565343853589
1313600000.0,-7.579672313162366,-54.46519278492777
1315300000.0,-7.5801027542833745,-55.097226400689166
1317000000.0,-7.580973032291581,-55.74211279962581
1318700000.0,-7.58230520371027,-56.40022297043513
1320400000.0,-7.584122453658077,-57.071940831268066
1322100000.0,-7.586449154560903,-57.75766369745552
1323800000.0,-7.589310927502937,-58.45780276221376
1325500000.0,-7.592734706245085,-59.172783590051274
1327200000.0,-7.596748803920933,-59.90304662249363
1328900000.0,-7.6013829823984045,-60.64904769562699
1330600000.0,-7.606668524268679,-61.411258568827876
1332300000.0,-7.61263830739206,-62.19016746389997
1334000000.0,-7.6193268818926905,-62.98627961367488
1335700000.0,-7.626770549449182,-63.80011781895259
1337400000.0,-7.635007444675534,-64.63222301245547
1339100000.0,-7.644077618325044,-65.48315482825139
1340800000.0,-7.654023121977932,-66.3534921748572
1342500000.0,-7.664888093789815,-67.24383380997182
1344200000.0,-7.6767188447815276,-68.15479891449989
1345900000.0,-7.68956394503927,-69.08702766321572
1347600000.0,-7.7034743090660225,-70.04118178908159
1349300000.0,-7.718503279378624,-71.01794513787304
1351000000.0,-7.734706707277529,-72.01802420937591
1352700000.0,-7.752143029526249,-73.0421486810079
1354400000.0,-7.770873339462002,-74.09107190927669
1356100000.0,-7.790961450815809,-75.1655714040222
1357800000.0,-7.812473952246974,-76.26644926989789
1359500000.0,-7.835480250290327,-77.39453260902762
1361200000.0,-7.8600525980730716,-78.55067387822845
1362900000.0,-7.88626610677852,-79.73575119361553
1364600000.0,-7.9141987364147806,-80.95066857479934
1366300000.0,-7.943931261985476,-82.1963561202442
1368000000.0,-7.975547210656146,-83.47377010467449
